"animal_id","name","datetime","datetime2","found_location","intake_type","intake_condition","animal_type","sex_upon_intake","age_upon_intake","breed","color"
"A895575","*Nobi","2024-01-01T08:20:00.000","2024-01-01T08:20:00.000","3104  Burleson Rd in Austin (TX)","Stray","Injured","Cat","Intact Female","4 months","Domestic Shorthair","Black"
"A895576","Zeus","2024-01-01T08:46:00.000","2024-01-01T08:46:00.000","905 Bedford St in Austin (TX)","Public Assist","Normal","Dog","Intact Male","3 years","American Pit Bull Terrier","White/Brown"
"A895580","*Dean","2024-01-01T10:24:00.000","2024-01-01T10:24:00.000","11309 Jones Rd in Travis (TX)","Stray","Injured","Dog","Intact Male","2 years","Pit Bull","Brown Brindle/White"
"A895783","*Spot","2024-01-01T12:17:00.000","2024-01-01T12:17:00.000","2706 Acopio Bend in Austin (TX)","Stray","Normal","Dog","Intact Male","0 years","Yorkshire Terrier Mix","White/Brown"
"A895784","*Pinto","2024-01-01T12:17:00.000","2024-01-01T12:17:00.000","2706 Acopio Bend in Austin (TX)","Stray","Normal","Dog","Intact Male","0 years","Yorkshire Terrier Mix","White/Brown"
"A895785","*Batgirl","2024-01-01T12:17:00.000","2024-01-01T12:17:00.000","2706 Acopio Bend in Austin (TX)","Stray","Normal","Dog","Intact Female","0 years","Yorkshire Terrier Mix","Tricolor"
"A895786","*Sable","2024-01-01T12:17:00.000","2024-01-01T12:17:00.000","2706 Acopio Bend in Austin (TX)","Stray","Normal","Dog","Intact Female","0 years","Yorkshire Terrier Mix","Red/Tan"
"A895589","Tigger","2024-01-01T14:25:00.000","2024-01-01T14:25:00.000","5401 East Parmer Lane in Travis (TX)","Stray","Injured","Dog","Intact Female","15 years","German Shepherd Mix","Brown"
"A895603","Brad","2024-01-01T16:07:00.000","2024-01-01T16:07:00.000","7101 N Ih 35 in Austin (TX)","Public Assist","Normal","Dog","Intact Male","9 years","Chihuahua Longhair","Fawn/Yellow"
"A882236","Duke","2024-01-01T17:15:00.000","2024-01-01T17:15:00.000","905 Chote in Austin (TX)","Stray","Normal","Dog","Intact Male","11 months","Pit Bull Mix","Tan/White"
"A895610","*Ansley","2024-01-01T23:13:00.000","2024-01-01T23:13:00.000","905 Vasquez in Austin (TX)","Stray","Normal","Dog","Intact Female","3 months","American Foxhound Mix","White/Brown Brindle"
"A895611",,"2024-01-01T23:13:00.000","2024-01-01T23:13:00.000","905 Vasquez in Austin (TX)","Stray","Normal","Dog","Intact Female","3 months","American Foxhound Mix","White/Black Brindle"
"A895627","Chopper","2024-01-02T06:51:00.000","2024-01-02T06:51:00.000","8801 S Congress Ave in Travis (TX)","Stray","Normal","Dog","Intact Male","1 year","Pit Bull","White/Black"
"A895628","*Dot Dot","2024-01-02T07:20:00.000","2024-01-02T07:20:00.000","7200 Elroy Road in Travis (TX)","Stray","Injured","Dog","Intact Female","2 years","Pit Bull Mix","White/Black"
"A880316","Hennesey","2024-01-02T09:46:00.000","2024-01-02T09:46:00.000","2216 Corta Street in Austin (TX)","Public Assist","Normal","Dog","Intact Male","2 years","Pit Bull","Tan"
"A895635","Stevie","2024-01-02T10:39:00.000","2024-01-02T10:39:00.000","Burnet Rd And 180 Hwy in Austin (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Shorthair","Black"
"A895639",,"2024-01-02T11:04:00.000","2024-01-02T11:04:00.000","Jester Drive in Austin (TX)","Stray","Normal","Cat","Intact Male","1 year","Domestic Shorthair","Orange Tabby"
"A895640","Tony","2024-01-02T11:04:00.000","2024-01-02T11:04:00.000","Jester Drive in Austin (TX)","Stray","Normal","Cat","Intact Male","1 year","Domestic Shorthair","Orange Tabby"
"A895641","Sebastian","2024-01-02T11:04:00.000","2024-01-02T11:04:00.000","Jester Drive in Austin (TX)","Stray","Normal","Cat","Intact Male","1 year","Domestic Shorthair","Orange Tabby/White"
"A895636","*Nubbins","2024-01-02T11:06:00.000","2024-01-02T11:06:00.000","6625 Mckinney Falls Parkway in Austin (TX)","Stray","Injured","Cat","Intact Male","1 weeks","Domestic Medium Hair","White/Brown Tabby"
"A890261","Scout","2024-01-02T12:08:00.000","2024-01-02T12:08:00.000","Austin (TX)","Owner Surrender","Normal","Dog","Neutered Male","4 years","Labrador Retriever/Pit Bull","White/Black"
"A895656",,"2024-01-02T12:46:00.000","2024-01-02T12:46:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","2 months","Domestic Shorthair","Brown Tabby"
"A895657","*Cinnamon","2024-01-02T12:46:00.000","2024-01-02T12:46:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","1 month","Domestic Shorthair","Brown Tabby/White"
"A895658","Myla","2024-01-02T12:46:00.000","2024-01-02T12:46:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","1 month","Domestic Shorthair","Brown Tabby/White"
"A895659","*Nutmeg","2024-01-02T12:46:00.000","2024-01-02T12:46:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair","Brown Tabby/White"
"A895660","*Clove","2024-01-02T12:46:00.000","2024-01-02T12:46:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","1 month","Domestic Shorthair","Brown Tabby"
"A895661","*Cardamom","2024-01-02T12:46:00.000","2024-01-02T12:46:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","1 month","Domestic Shorthair","Black"
"A895662","*Fennel","2024-01-02T12:46:00.000","2024-01-02T12:46:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair","Black"
"A895663","*Pepper","2024-01-02T12:46:00.000","2024-01-02T12:46:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","1 month","Domestic Shorthair","Black"
"A895654","Rilee","2024-01-02T13:10:00.000","2024-01-02T13:10:00.000","1165 Angelina Street in Austin (TX)","Stray","Normal","Dog","Intact Female","10 months","German Shepherd Mix","Black"
"A895668",,"2024-01-02T13:53:00.000","2024-01-02T13:53:00.000","2811 Vernon Ave in Austin (TX)","Stray","Normal","Cat","Intact Male","5 months","Domestic Shorthair","Blue Tabby/White"
"A895680","Phoenix Tygga / Merlin","2024-01-02T13:53:00.000","2024-01-02T13:53:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","2 years","Domestic Shorthair","Blue"
"A895669",,"2024-01-02T14:00:00.000","2024-01-02T14:00:00.000","8104 Taza Trail in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Longhair","Brown Tabby"
"A895674","Bronco","2024-01-02T14:31:00.000","2024-01-02T14:31:00.000","427 Marlock Ridge in Austin (TX)","Stray","Normal","Cat","Intact Male","1 year","Domestic Medium Hair","Black/White"
"A895675",,"2024-01-02T14:31:00.000","2024-01-02T14:31:00.000","427 Marlock Ridge in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Medium Hair","Torbie"
"A895676",,"2024-01-02T14:31:00.000","2024-01-02T14:31:00.000","427 Marlock Ridge in Austin (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Medium Hair","White/Orange Tabby"
"A895677","June","2024-01-02T14:37:00.000","2024-01-02T14:37:00.000","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","5 years","Domestic Medium Hair","Tortie Point"
